Galaxy Type N_GC N_GC_err MBH upMBH lowMBH sig_e err_sig_e Re Mdyn A_V MK MV_T err_MV_T
MilkyWay S          160      10      6.61    0.04     0.04     105.0    20.0      0.70     9.856   0.000    NA       -21.30   0.30    
NGC221   E            1       9      6.46    0.08     0.10      75.0     3.0      0.15     8.770   0.170    -19.327  -16.54   0.21    
NGC224   S          450     100      8.18    0.20     0.10     160.0     8.0      4.66    11.046   0.170    -23.467  -21.80   0.20    
NGC253   S           90      40      7.00    0.30     0.30     102.6    18.8      3.80    10.571   0.051    -23.979  -21.01   0.20    
NGC821   E          320      45      8.23    0.16     0.25     209.0    10.0      5.64    11.361   0.364    -23.984  -21.53   0.20    
NGC1023  S0         490      30      7.64    0.04     0.04     209.0    10.0      2.19    10.950   0.201    -24.074  -21.14   0.20    
NGC1316  S0        1000     500      8.24    0.17     0.23     227.7     3.1     10.19    11.692   0.069    -26.041  -23.16   0.20    
NGC1332  S0        1000     500      9.17    0.06     0.06     320.9    13.7      2.75    11.420   0.108    -24.760  -21.62   0.20    
NGC1399  E         6000     700      8.69    0.06     0.07     337.0    16.0      9.70    12.011   0.043    -25.276  -22.03   0.20    
NGC2778  E           50      30      7.15    0.30     0.30     175.0     8.0      1.75    10.698   0.069    -22.294  -19.45   0.36    
NGC3031  S          300     100      7.84    0.11     0.06     143.0     7.0      3.41    10.812   0.266    -23.949  -21.08   0.20    
NGC3115  S0         550      80      8.96    0.19     0.15     230.0    11.0      1.51    10.871   0.157    -24.134  -21.19   0.20    
NGC3377  E          191      15      8.25    0.19     0.29     145.0     7.0      1.84    10.557   0.113    -22.786  -19.95   0.20    
NGC3379  E          216      42      8.04    0.22     0.26     206.0    10.0      1.79    10.849   0.081    -23.782  -20.90   0.20    
NGC3384  S0         120      30      7.04    0.16     0.26     143.0     7.0      1.40    10.426   0.088    -23.427  -20.49   0.20    
NGC3414  S0         400     200      8.40    0.06     0.08     236.8     7.5      2.54    11.122   0.081    -24.037  -21.10   0.42    
NGC3585  E          300     100      8.51    0.15     0.13     213.0    10.0      4.27    11.256   0.212    -24.952  -21.81   0.23    
NGC3607  S0         600     200      8.15    0.10     0.15     229.0    11.0      4.18    11.310   0.069    -24.519  -21.50   0.20    
NGC3608  E          450     200      8.67    0.09     0.10     182.0     9.0      3.74    11.062   0.069    -23.720  -21.11   0.20    
NGC3842  E        12000    3000      9.99    0.12     0.13     315.0     8.0     17.38    12.205   0.071    -25.812  -23.14   0.20    
NGC4261  E         1242     250      8.71    0.08     0.09     315.0    15.0      7.42    11.836   0.060    -25.143  -22.14   0.21    
NGC4291  E          950     170      8.98    0.10     0.18     242.0    12.0      2.19    11.077   0.121    -23.686  -20.74   0.38    
NGC4350  S0         196      60      8.74    0.10     0.10     180.5     7.2      2.05    10.793   0.093    -23.147  -20.05   0.20    
NGC4374  E         4301    1201      8.96    0.05     0.04     296.0    14.0      5.46    11.648   0.134    -25.130  -22.36   0.20    
NGC4459  S0         218      28      7.84    0.08     0.08     167.0     8.0      3.09    10.904   0.153    -23.886  -20.81   0.20    
NGC4472  E         7000     800      9.26    0.12     0.18     293.8     2.9     12.65    12.007   0.074    -25.768  -22.82   0.20    
NGC4473  E          376      97      7.95    0.19     0.29     190.0     9.0      3.01    11.005   0.094    -23.770  -20.81   0.20    
NGC4486  E        13000     800      9.77    0.03     0.03     375.0    18.0      7.30    11.980   0.074    -25.348  -22.61   0.20    
NGC4486A E           11      12      7.15    0.13     0.11     111.0     5.0      0.54     9.795   0.065    -22.314  -18.70   0.20    
NGC4552  E         1100     200      8.68    0.04     0.05     252.5     3.3      3.70    11.342   0.136    -24.292  -20.39   0.20    
NGC4564  E          213      31      7.92    0.10     0.14     162.0     8.0      1.78    10.638   0.116    -23.078  -20.00   0.20    
NGC4594  S         1900     200      8.72    0.30     0.57     240.0    12.0      3.41    11.262   0.170    -25.006  -22.12   0.20    
NGC4621  E          803     355      8.60    0.06     0.07     225.1     3.2      4.57    11.333   0.110    -24.125  -21.34   0.20    
NGC4649  E         4000     500      9.63    0.09     0.11     385.0    19.0      7.12    11.992   0.088    -25.434  -22.41   0.20    
NGC4697  E          229      70      8.28    0.08     0.10     177.0     8.0      4.19    11.087   0.101    -24.042  -21.27   0.20    
NGC4889  E        11000    2000     10.32    0.25     0.62     400.8     5.6     15.11    12.354   0.032    -26.521  -23.47   0.20    
NGC5128  E         1300     300      7.71    0.13     0.19     150.0     7.0      6.15    11.110   0.381    -23.998  -21.26   0.20    
IC4296   E         6400     300      9.13    0.06     0.07     322.0    16.0     10.71    12.014   0.169    -25.997  -23.08   0.20    
NGC5813  E         2900     400      8.84    0.07     0.07     236.5     3.4      8.93    11.667   0.189    -25.147  -22.27   0.23    
NGC5845  E          180      30      8.69    0.12     0.16     234.0    11.0     NA       NA       0.177    -22.977  -19.77   0.26    
NGC5846  E         4670    1195      9.04    0.07     0.09     239.3     4.3      7.56    11.605   0.182    -25.065  -22.12   0.25    
NGC6086  E         9200    2500      9.56    0.16     0.16     334.4     9.5     16.23    12.228   0.124    -25.729  -23.04   0.22    
NGC7332  S0         175      15      7.11    0.17     0.21     124.9     3.3      1.64    10.376   0.124    -23.811  -20.83   0.25    
IC1459   E         2100     730      9.45    0.14     0.25     306.1     7.8      4.95    11.635   0.043    -25.530  -22.04   0.20    
NGC7457  S0         160      50      7.00    0.20     0.40      67.0     3.0      2.06     9.935   0.172    -22.436  -19.58   0.25    
NGC7768  E         3000    1300      9.11    0.14     0.16     312.8    15.4     15.22    12.142   0.128    -25.927  -23.07   0.20    
